year,g_avg_temp,city,avg_temp
1750,8.72,Edinburgh,8.41
1751,7.98,Edinburgh,8.16
1752,5.78,Edinburgh,4.78
1753,8.39,Edinburgh,7.51
1754,8.47,Edinburgh,7.42
1755,8.36,Edinburgh,7.14
1756,8.85,Edinburgh,7.64
1757,9.02,Edinburgh,7.65
1758,6.74,Edinburgh,6.87
1759,7.99,Edinburgh,7.85
1760,7.19,Edinburgh,7.13
1761,8.77,Edinburgh,7.93
1762,8.61,Edinburgh,7.13
1763,7.50,Edinburgh,6.92
1764,8.40,Edinburgh,7.13
1765,8.25,Edinburgh,6.87
1766,8.41,Edinburgh,7.14
1767,8.22,Edinburgh,7.14
1768,6.78,Edinburgh,7.20
1769,7.69,Edinburgh,7.24
1770,7.69,Edinburgh,6.96
1771,7.85,Edinburgh,6.86
1772,8.19,Edinburgh,6.95
1773,8.22,Edinburgh,7.25
1774,8.77,Edinburgh,6.86
1775,9.18,Edinburgh,7.95
1776,8.30,Edinburgh,7.15
1777,8.26,Edinburgh,7.34
1778,8.54,Edinburgh,7.82
1779,8.98,Edinburgh,8.90
1780,9.43,Edinburgh,7.75
1781,8.10,Edinburgh,8.53
1782,7.90,Edinburgh,6.28
1783,7.68,Edinburgh,7.66
1784,7.86,Edinburgh,6.36
1785,7.36,Edinburgh,6.98
1786,8.26,Edinburgh,6.63
1787,8.03,Edinburgh,7.79
1788,8.45,Edinburgh,7.63
1789,8.33,Edinburgh,7.78
1790,7.98,Edinburgh,7.97
1791,8.23,Edinburgh,7.83
1792,8.09,Edinburgh,7.72
1793,8.23,Edinburgh,7.65
1794,8.53,Edinburgh,8.18
1795,8.35,Edinburgh,7.17
1796,8.27,Edinburgh,7.64
1797,8.51,Edinburgh,7.76
1798,8.67,Edinburgh,8.14
1799,8.51,Edinburgh,6.23
1800,8.48,Edinburgh,7.25
1801,8.59,Edinburgh,7.77
1802,8.58,Edinburgh,7.44
1803,8.50,Edinburgh,7.22
1804,8.84,Edinburgh,7.49
1805,8.56,Edinburgh,7.20
1806,8.43,Edinburgh,7.56
1807,8.28,Edinburgh,6.83
1808,7.63,Edinburgh,7.12
1809,7.08,Edinburgh,7.02
1810,6.92,Edinburgh,6.87
1811,6.86,Edinburgh,7.82
1812,7.05,Edinburgh,6.60
1813,7.74,Edinburgh,7.35
1814,7.59,Edinburgh,6.33
1815,7.24,Edinburgh,7.15
1816,6.94,Edinburgh,6.18
1817,6.98,Edinburgh,7.03
1818,7.83,Edinburgh,7.82
1819,7.37,Edinburgh,7.47
1820,7.62,Edinburgh,7.06
1821,8.09,Edinburgh,7.94
1822,8.19,Edinburgh,8.23
1823,7.72,Edinburgh,6.80
1824,8.55,Edinburgh,7.69
1825,8.39,Edinburgh,8.13
1826,8.36,Edinburgh,8.39
1827,8.81,Edinburgh,7.58
1828,8.17,Edinburgh,8.26
1829,7.94,Edinburgh,6.52
1830,8.52,Edinburgh,7.06
1831,7.64,Edinburgh,8.10
1832,7.45,Edinburgh,7.79
1833,8.01,Edinburgh,7.52
1834,8.15,Edinburgh,8.56
1835,7.39,Edinburgh,7.52
1836,7.70,Edinburgh,6.87
1837,7.38,Edinburgh,6.92
1838,7.51,Edinburgh,6.18
1839,7.63,Edinburgh,6.99
1840,7.80,Edinburgh,7.11
1841,7.69,Edinburgh,7.17
1842,8.02,Edinburgh,7.88
1843,8.17,Edinburgh,7.56
1844,7.65,Edinburgh,7.13
1845,7.85,Edinburgh,6.94
1846,8.55,Edinburgh,8.73
1847,8.09,Edinburgh,7.57
1848,7.98,Edinburgh,7.50
1849,7.98,Edinburgh,7.39
1850,7.90,Edinburgh,7.38
1851,8.18,Edinburgh,7.44
1852,8.10,Edinburgh,8.16
1853,8.04,Edinburgh,7.01
1854,8.21,Edinburgh,7.78
1855,8.11,Edinburgh,6.57
1856,8.00,Edinburgh,7.26
1857,7.76,Edinburgh,8.52
1858,8.10,Edinburgh,7.53
1859,8.25,Edinburgh,7.57
1860,7.96,Edinburgh,6.22
1861,7.85,Edinburgh,7.59
1862,7.56,Edinburgh,7.31
1863,8.11,Edinburgh,7.85
1864,7.98,Edinburgh,6.98
1865,8.18,Edinburgh,7.73
1866,8.29,Edinburgh,7.53
1867,8.44,Edinburgh,7.26
1868,8.25,Edinburgh,8.39
1869,8.43,Edinburgh,7.61
1870,8.20,Edinburgh,7.32
1871,8.12,Edinburgh,7.35
1872,8.19,Edinburgh,7.81
1873,8.35,Edinburgh,7.43
1874,8.43,Edinburgh,7.63
1875,7.86,Edinburgh,7.73
1876,8.08,Edinburgh,7.64
1877,8.54,Edinburgh,7.21
1878,8.83,Edinburgh,7.68
1879,8.17,Edinburgh,5.98
1880,8.12,Edinburgh,7.54
1881,8.27,Edinburgh,6.65
1882,8.13,Edinburgh,7.70
1883,7.98,Edinburgh,7.37
1884,7.77,Edinburgh,7.95
1885,7.92,Edinburgh,6.87
1886,7.95,Edinburgh,6.83
1887,7.91,Edinburgh,7.08
1888,8.09,Edinburgh,6.75
1889,8.32,Edinburgh,7.57
1890,7.97,Edinburgh,7.59
1891,8.02,Edinburgh,7.15
1892,8.07,Edinburgh,6.46
1893,8.06,Edinburgh,8.21
1894,8.16,Edinburgh,7.61
1895,8.15,Edinburgh,6.98
1896,8.21,Edinburgh,7.84
1897,8.29,Edinburgh,7.60
1898,8.18,Edinburgh,8.33
1899,8.40,Edinburgh,7.88
1900,8.50,Edinburgh,7.60
1901,8.54,Edinburgh,7.64
1902,8.30,Edinburgh,7.09
1903,8.22,Edinburgh,7.37
1904,8.09,Edinburgh,7.38
1905,8.23,Edinburgh,7.65
1906,8.38,Edinburgh,7.67
1907,7.95,Edinburgh,7.23
1908,8.19,Edinburgh,7.79
1909,8.18,Edinburgh,6.99
1910,8.22,Edinburgh,7.49
1911,8.18,Edinburgh,8.20
1912,8.17,Edinburgh,7.52
1913,8.30,Edinburgh,7.95
1914,8.59,Edinburgh,8.23
1915,8.59,Edinburgh,7.14
1916,8.23,Edinburgh,7.55
1917,8.02,Edinburgh,7.05
1918,8.13,Edinburgh,7.74
1919,8.38,Edinburgh,6.91
1920,8.36,Edinburgh,7.91
1921,8.57,Edinburgh,8.59
1922,8.41,Edinburgh,7.02
1923,8.42,Edinburgh,7.26
1924,8.51,Edinburgh,7.59
1925,8.53,Edinburgh,7.49
1926,8.73,Edinburgh,8.00
1927,8.52,Edinburgh,7.40
1928,8.63,Edinburgh,7.59
1929,8.24,Edinburgh,7.37
1930,8.63,Edinburgh,7.64
1931,8.72,Edinburgh,7.33
1932,8.71,Edinburgh,7.90
1933,8.34,Edinburgh,8.39
1934,8.63,Edinburgh,8.43
1935,8.52,Edinburgh,7.87
1936,8.55,Edinburgh,7.76
1937,8.70,Edinburgh,7.70
1938,8.86,Edinburgh,8.49
1939,8.76,Edinburgh,8.13
1940,8.76,Edinburgh,7.42
1941,8.77,Edinburgh,7.34
1942,8.73,Edinburgh,7.38
1943,8.76,Edinburgh,8.30
1944,8.85,Edinburgh,7.94
1945,8.58,Edinburgh,8.67
1946,8.68,Edinburgh,7.82
1947,8.80,Edinburgh,7.70
1948,8.75,Edinburgh,8.17
1949,8.59,Edinburgh,8.81
1950,8.37,Edinburgh,7.67
1951,8.63,Edinburgh,7.47
1952,8.64,Edinburgh,7.38
1953,8.87,Edinburgh,8.54
1954,8.56,Edinburgh,7.57
1955,8.63,Edinburgh,7.68
1956,8.28,Edinburgh,7.43
1957,8.73,Edinburgh,8.28
1958,8.77,Edinburgh,7.56
1959,8.73,Edinburgh,8.67
1960,8.58,Edinburgh,8.02
1961,8.80,Edinburgh,8.07
1962,8.75,Edinburgh,7.10
1963,8.86,Edinburgh,6.92
1964,8.41,Edinburgh,7.83
1965,8.53,Edinburgh,7.13
1966,8.60,Edinburgh,7.51
1967,8.70,Edinburgh,7.99
1968,8.52,Edinburgh,7.61
1969,8.60,Edinburgh,7.48
1970,8.70,Edinburgh,7.74
1971,8.60,Edinburgh,8.31
1972,8.50,Edinburgh,7.64
1973,8.95,Edinburgh,7.89
1974,8.47,Edinburgh,7.81
1975,8.74,Edinburgh,8.22
1976,8.35,Edinburgh,8.15
1977,8.85,Edinburgh,7.68
1978,8.69,Edinburgh,7.62
1979,8.73,Edinburgh,7.06
1980,8.98,Edinburgh,7.74
1981,9.17,Edinburgh,7.48
1982,8.64,Edinburgh,7.99
1983,9.03,Edinburgh,8.14
1984,8.69,Edinburgh,8.09
1985,8.66,Edinburgh,7.25
1986,8.83,Edinburgh,7.04
1987,8.99,Edinburgh,7.33
1988,9.20,Edinburgh,8.11
1989,8.92,Edinburgh,8.57
1990,9.23,Edinburgh,8.68
1991,9.18,Edinburgh,7.99
1992,8.84,Edinburgh,8.05
1993,8.87,Edinburgh,7.59
1994,9.04,Edinburgh,8.07
1995,9.35,Edinburgh,8.49
1996,9.04,Edinburgh,7.71
1997,9.20,Edinburgh,8.87
1998,9.52,Edinburgh,8.56
1999,9.29,Edinburgh,8.74
2000,9.20,Edinburgh,8.48
2001,9.41,Edinburgh,8.15
2002,9.57,Edinburgh,8.76
2003,9.53,Edinburgh,8.95
2004,9.32,Edinburgh,8.92
2005,9.70,Edinburgh,8.85
2006,9.53,Edinburgh,9.10
2007,9.73,Edinburgh,8.94
2008,9.43,Edinburgh,8.42
2009,9.51,Edinburgh,8.64
2010,9.70,Edinburgh,7.43
2011,9.52,Edinburgh,8.95
2012,9.51,Edinburgh,8.08
2013,9.61,Edinburgh,8.39
