tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37182,7953,,,2017-08-01 16:23:56+00:00
892177421306343426,31975,5906,,,2017-08-01 00:17:27+00:00
891815181378084864,24077,3904,,,2017-07-31 00:18:03+00:00
891689557279858688,40492,8106,,,2017-07-30 15:58:51+00:00
891327558926688256,38723,8790,,,2017-07-29 16:00:24+00:00
891087950875897856,19468,2923,,,2017-07-29 00:08:17+00:00
890971913173991426,11356,1940,,,2017-07-28 16:27:12+00:00
890729181411237888,62708,17727,,,2017-07-28 00:22:40+00:00
890609185150312448,26774,4021,,,2017-07-27 16:25:51+00:00
890240255349198849,30673,6920,,,2017-07-26 15:59:51+00:00
890006608113172480,29514,6883,,,2017-07-26 00:31:25+00:00
889880896479866881,26764,4688,,,2017-07-25 16:11:53+00:00
889665388333682689,46213,9429,,,2017-07-25 01:55:32+00:00
889638837579907072,26046,4228,,,2017-07-25 00:10:02+00:00
889531135344209921,14539,2118,,,2017-07-24 17:02:04+00:00
889278841981685760,24254,5030,,,2017-07-24 00:19:32+00:00
888917238123831296,27992,4228,,,2017-07-23 00:22:39+00:00
888804989199671297,24585,4000,,,2017-07-22 16:56:37+00:00
888554962724278272,19027,3305,,,2017-07-22 00:23:06+00:00
888078434458587136,20920,3269,,,2017-07-20 16:49:33+00:00
887705289381826560,29030,5055,,,2017-07-19 16:06:48+00:00
887517139158093824,44527,11023,,,2017-07-19 03:39:09+00:00
887473957103951883,66221,16943,,,2017-07-19 00:47:34+00:00
887343217045368832,32368,9821,,,2017-07-18 16:08:03+00:00
887101392804085760,29392,5602,,,2017-07-18 00:07:08+00:00
886983233522544640,33716,7221,,,2017-07-17 16:17:36+00:00
886736880519319552,11561,3048,,,2017-07-16 23:58:41+00:00
886680336477933568,21559,4187,,,2017-07-16 20:14:00+00:00
886366144734445568,20339,2998,,,2017-07-15 23:25:31+00:00
886258384151887873,26899,5933,,,2017-07-15 16:17:19+00:00
885984800019947520,31357,6343,,,2017-07-14 22:10:11+00:00
885528943205470208,34582,6020,,,2017-07-13 15:58:47+00:00
885167619883638784,21046,4112,,,2017-07-12 16:03:00+00:00
884925521741709313,74340,17044,,,2017-07-12 00:01:00+00:00
884876753390489601,26828,5268,,,2017-07-11 20:47:12+00:00
884562892145688576,23361,4430,,,2017-07-11 00:00:02+00:00
884441805382717440,25991,5345,,,2017-07-10 15:58:53+00:00
884162670584377345,19585,2806,,,2017-07-09 21:29:42+00:00
883838122936631299,21007,3250,,,2017-07-09 00:00:04+00:00
883482846933004288,44131,9313,,,2017-07-08 00:28:19+00:00
883360690899218434,21805,3485,,,2017-07-07 16:22:55+00:00
883117836046086144,35709,6256,,,2017-07-07 00:17:54+00:00
882992080364220416,22984,3676,,,2017-07-06 15:58:11+00:00
882762694511734784,27184,4607,,,2017-07-06 00:46:41+00:00
882627270321602560,26860,5712,,,2017-07-05 15:48:34+00:00
882268110199369728,43184,10901,,,2017-07-04 16:01:23+00:00
882045870035918850,28187,4607,,,2017-07-04 01:18:17+00:00
881906580714921986,23373,3201,,,2017-07-03 16:04:48+00:00
881666595344535552,48711,10039,,,2017-07-03 00:11:11+00:00
881536004380872706,47540,15018,,,2017-07-02 15:32:16+00:00
881268444196462592,22272,4933,,,2017-07-01 21:49:04+00:00
880935762899988482,16380,2629,,,2017-06-30 23:47:07+00:00
880872448815771648,20467,3597,,,2017-06-30 19:35:32+00:00
880465832366813184,27428,5873,,,2017-06-29 16:39:47+00:00
880221127280381952,25970,3964,,,2017-06-29 00:27:25+00:00
880095782870896641,26580,4087,,,2017-06-28 16:09:20+00:00
879862464715927552,21500,3289,,,2017-06-28 00:42:13+00:00
879492040517615616,22572,2997,,,2017-06-27 00:10:17+00:00
879415818425184262,101871,41810,,,2017-06-26 19:07:24+00:00
879376492567855104,16179,2941,,,2017-06-26 16:31:08+00:00
879050749262655488,21686,4411,,,2017-06-25 18:56:45+00:00
879008229531029506,18260,2537,,,2017-06-25 16:07:47+00:00
878776093423087618,18656,3871,,,2017-06-25 00:45:22+00:00
878281511006478336,7435,1219,,,2017-06-23 16:00:04+00:00
878057613040115712,40502,6424,,,2017-06-23 01:10:23+00:00
877736472329191424,76654,17958,,,2017-06-22 03:54:17+00:00
877556246731214848,21863,3599,,,2017-06-21 15:58:08+00:00
877316821321428993,26368,4886,,,2017-06-21 00:06:44+00:00
877201837425926144,26110,5275,,,2017-06-20 16:29:50+00:00
876838120628539392,19953,3154,,,2017-06-19 16:24:33+00:00
876484053909872640,18075,2254,,,2017-06-18 16:57:37+00:00
876120275196170240,26913,4417,,,2017-06-17 16:52:05+00:00
875747767867523072,24258,4035,,,2017-06-16 16:11:53+00:00
875144289856114688,21143,4660,,,2017-06-15 00:13:52+00:00
875021211251597312,24555,4472,,,2017-06-14 16:04:48+00:00
874680097055178752,26834,4390,,,2017-06-13 17:29:20+00:00
874296783580663808,25111,3898,,,2017-06-12 16:06:11+00:00
874057562936811520,21900,3754,,,2017-06-12 00:15:36+00:00
874012996292530176,33284,9773,,,2017-06-11 21:18:31+00:00
873580283840344065,23372,3731,,,2017-06-10 16:39:04+00:00
873213775632977920,6957,1511,,,2017-06-09 16:22:42+00:00
872967104147763200,26354,5134,,,2017-06-09 00:02:31+00:00
872820683541237760,14223,3526,,,2017-06-08 14:20:41+00:00
872620804844003328,20059,3480,,,2017-06-08 01:06:27+00:00
872486979161796608,39350,8578,,,2017-06-07 16:14:40+00:00
872122724285648897,33257,7719,,,2017-06-06 16:07:15+00:00
871879754684805121,36547,10519,,,2017-06-06 00:01:46+00:00
871762521631449091,19594,3314,,,2017-06-05 16:15:56+00:00
871515927908634625,19516,3296,,,2017-06-04 23:56:03+00:00
871032628920680449,21976,3640,,,2017-06-03 15:55:36+00:00
870804317367881728,32591,5907,,,2017-06-03 00:48:22+00:00
870656317836468226,12017,2524,,,2017-06-02 15:00:16+00:00
870374049280663552,80337,25241,,,2017-06-01 20:18:38+00:00
870308999962521604,21229,3972,,,2017-06-01 16:00:09+00:00
870063196459192321,35517,7951,,,2017-05-31 23:43:25+00:00
869772420881756160,41243,9657,,,2017-05-31 04:27:59+00:00
869702957897576449,27420,6049,,,2017-05-30 23:51:58+00:00
869596645499047938,15519,3003,,,2017-05-30 16:49:31+00:00
869227993411051520,19851,3627,,,2017-05-29 16:24:37+00:00
868880397819494401,63690,13848,,,2017-05-28 17:23:24+00:00
868622495443632128,25989,5094,,,2017-05-28 00:18:35+00:00
868552278524837888,9837,1996,,,2017-05-27 19:39:34+00:00
867900495410671616,23561,4020,,,2017-05-26 00:29:37+00:00
867774946302451713,33060,7066,,,2017-05-25 16:10:44+00:00
867421006826221569,15686,2402,,,2017-05-24 16:44:18+00:00
867051520902168576,31412,7582,,,2017-05-23 16:16:06+00:00
866686824827068416,18807,3348,,,2017-05-22 16:06:55+00:00
866450705531457537,119400,34013,,,2017-05-22 00:28:40+00:00
866334964761202691,51238,13818,,,2017-05-21 16:48:45+00:00
865718153858494464,25058,5435,,,2017-05-19 23:57:46+00:00
865359393868664832,25869,4832,,,2017-05-19 00:12:11+00:00
865006731092295680,27382,7436,,,2017-05-18 00:50:50+00:00
864873206498414592,31565,8415,,,2017-05-17 16:00:15+00:00
864279568663928832,14269,2931,,,2017-05-16 00:41:21+00:00
864197398364647424,29438,8605,,,2017-05-15 19:14:50+00:00
863907417377173506,20186,4004,,,2017-05-15 00:02:33+00:00
863553081350529029,14967,4058,,,2017-05-14 00:34:33+00:00
863432100342583297,23341,5085,,,2017-05-13 16:33:49+00:00
863079547188785154,8599,1075,,,2017-05-12 17:12:53+00:00
863062471531167744,8315,2363,,,2017-05-12 16:05:02+00:00
862831371563274240,18802,4997,,,2017-05-12 00:46:44+00:00
862722525377298433,16750,3434,,,2017-05-11 17:34:13+00:00
862457590147678208,20089,4807,,,2017-05-11 00:01:27+00:00
862096992088072192,73133,22557,,,2017-05-10 00:08:34+00:00
861383897657036800,35465,10430,,,2017-05-08 00:54:59+00:00
861288531465048066,16903,4031,,,2017-05-07 18:36:02+00:00
861005113778896900,16425,3718,,,2017-05-06 23:49:50+00:00
860563773140209665,7392,2100,,,2017-05-05 18:36:06+00:00
860524505164394496,23263,5168,,,2017-05-05 16:00:04+00:00
860276583193509888,18048,3409,,,2017-05-04 23:34:55+00:00
860184849394610176,16409,5715,,,2017-05-04 17:30:24+00:00
859924526012018688,19286,4005,,,2017-05-04 00:15:58+00:00
859851578198683649,15193,3439,,,2017-05-03 19:26:06+00:00
859607811541651456,18325,1534,,,2017-05-03 03:17:27+00:00
859196978902773760,88772,29528,,,2017-05-02 00:04:57+00:00
859074603037188101,33430,13344,,,2017-05-01 15:58:40+00:00
858843525470990336,15355,3430,,,2017-05-01 00:40:27+00:00
858471635011153920,21243,4769,,,2017-04-30 00:02:42+00:00
858107933456039936,15540,2867,,,2017-04-28 23:57:28+00:00
857989990357356544,15943,2550,,,2017-04-28 16:08:49+00:00
857746408056729600,33875,10452,,,2017-04-28 00:00:54+00:00
857393404942143489,5835,1618,,,2017-04-27 00:38:11+00:00
857263160327368704,19828,4449,,,2017-04-26 16:00:39+00:00
857029823797047296,18746,3953,,,2017-04-26 00:33:27+00:00
856543823941562368,16145,2843,,,2017-04-24 16:22:16+00:00
856526610513747968,11764,1855,,,2017-04-24 15:13:52+00:00
856282028240666624,27541,6214,,,2017-04-23 23:01:59+00:00
